;host_response_time;host_response_rate;host_is_superhost;host_listings_count;latitude;longitude;property_type;room_type;accommodates;bathrooms;bedrooms;beds;bed_type;amenities;price;security_deposit;cleaning_fee;guests_included;extra_people;minimum_nights;maximum_nights;number_of_reviews;review_scores_rating;review_scores_accuracy;review_scores_cleanliness;review_scores_checkin;review_scores_communication;review_scores_location;review_scores_value;instant_bookable;is_business_travel_ready;cancellation_policy;year;month
'host_response_time','host_response_rate','host_is_superhost','host_listings_count','latitude','longitude','property_type','room_type','accommodates','bathrooms','bedrooms','beds','bed_type','amenities','price','security_deposit','cleaning_fee','guests_included','extra_people','minimum_nights','maximum_nights','number_of_reviews','review_scores_rating','review_scores_accuracy','review_scores_cleanliness','review_scores_checkin','review_scores_communication','review_scores_location','review_scores_value','instant_bookable','is_business_travel_ready','cancellation_policy','year','month';'host_response_time';'host_response_rate';'host_is_superhost';'host_listings_count';'latitude';'longitude';'property_type';'room_type';'accommodates';'bathrooms';'bedrooms';'beds';'bed_type';'amenities';'price';'security_deposit';'cleaning_fee';'guests_included';'extra_people';'minimum_nights';'maximum_nights';'number_of_reviews';'review_scores_rating';'review_scores_accuracy';'review_scores_cleanliness';'review_scores_checkin';'review_scores_communication';'review_scores_location';'review_scores_value';'instant_bookable';'is_business_travel_ready';'cancellation_policy';'year';'month'
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;f;1.0;-22.946.854.109.114.200;-43.182.737.237.144.500;Apartment;Entire home/apt;4;1.0;0.0;2.0;Real Bed;"{TV,Internet,""Air conditioning"",Kitchen,Doorman,Elevator,""Family/kid friendly"",Washer,Hangers,Iron,""Laptop friendly workspace""}";$133.00;$1,025.00;$102.00;2;$34.00;60;365;38;91.0;9.0;9.0;9.0;9.0;9.0;9.0;f;f;strict_14_with_grace_period;2018;4
;within an hour;100%;t;2.0;-2.296.591.903.141.140;-4.317.896.230.586.560;Condominium;Entire home/apt;5;1.0;2.0;2.0;Real Bed;"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",Kitchen,""Paid parking off premises"",""Smoking allowed"",Doorman,Elevator,""Hot tub"",""Family/kid friendly"",""Suitable for events"",Essentials,""24-hour check-in"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Self check-in"",""Front desk/doorperson"",""Private entrance"",""Hot water"",""Bed linens"",""Luggage dropoff allowed""}";$270.00;$0.00;$273.00;2;$51.00;4;90;205;93.0;10.0;9.0;10.0;10.0;9.0;9.0;t;f;strict;2018;4
;within an hour;100%;f;1.0;-229.856.978.888.963;-4.320.193.477.968.930;Apartment;Entire home/apt;2;1.0;1.0;1.0;Real Bed;"{TV,""Cable TV"",Wifi,""Air conditioning"",""First aid kit"",Essentials,Shampoo,Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Hot water"",""Bed linens"",""Extra pillows and blankets"",""Pocket wifi"",Microwave,""Coffee maker"",Refrigerator,""Dishes and silverware"",""Beach essentials""}";$222.00;$851.00;$211.00;2;$215.00;3;90;85;95.0;10.0;10.0;10.0;10.0;10.0;9.0;f;f;strict;2018;4
;within an hour;100%;f;3.0;-22.977.116.804.101.800;-4.319.045.414.722.080;Apartment;Entire home/apt;3;1.0;1.0;2.0;Real Bed;"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",Kitchen,Doorman,Elevator,""Buzzer/wireless intercom"",""Family/kid friendly"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace""}";$161.00;$1,000.00;$220.00;2;$45.00;4;30;208;94.0;9.0;10.0;10.0;10.0;10.0;9.0;f;f;strict;2018;4
;within an hour;100%;t;1.0;-2.298.302.369.705.460;-4.321.427.004.586.680;Apartment;Entire home/apt;3;1.0;1.0;2.0;Real Bed;"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",Kitchen,Doorman,Elevator,""Buzzer/wireless intercom"",Essentials,Shampoo,Hangers,""Hair dryer"",""Laptop friendly workspace"",""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50""}";$222.00;;$85.00;2;$68.00;2;1125;200;96.0;10.0;10.0;10.0;10.0;10.0;9.0;t;f;strict;2018;4
;within an hour;100%;t;1.0;-22.988.164.695.838.600;-431.935.877.232.457;Apartment;Entire home/apt;3;1.5;1.0;2.0;Real Bed;"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",""Wheelchair accessible"",Kitchen,Doorman,Elevator,""Free street parking"",""Buzzer/wireless intercom"",""Family/kid friendly"",Washer,Essentials,Shampoo,Hangers,""Hair dryer"",Iron,""Self check-in"",Lockbox,""Hot water"",""Bed linens"",Microwave,Refrigerator,""Dishes and silverware"",""Cooking basics"",Oven,Stove,""Long term stays allowed"",""Cleaning before checkout""}";$308.00;$856.00;$158.00;2;$86.00;2;89;116;94.0;10.0;9.0;10.0;10.0;10.0;9.0;f;f;strict;2018;4
;within an hour;100%;t;1.0;-22.981.268.983.403.900;-4.319.045.722.266.820;Loft;Entire home/apt;2;1.0;1.0;2.0;Real Bed;"{TV,""Cable TV"",Wifi,""Air conditioning"",Kitchen,""Paid parking off premises"",Elevator,""Family/kid friendly"",""Smoke detector"",""Carbon monoxide detector"",""Fire extinguisher"",Essentials,Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""translation missing: en.hosting_amenity_50"",""Self check-in"",""Front desk/doorperson"",""Room-darkening shades"",""Hot water"",""Luggage dropoff allowed"",""Wide doorway"",""Well-lit path to entrance"",""Step-free access"",""Wide clearance to bed"",""Step-free access"",""Bathtub with bath chair"",""Wide entryway"",Beachfront}";$219.00;$400.00;$140.00;2;$80.00;3;30;255;97.0;10.0;10.0;10.0;10.0;10.0;10.0;t;f;strict;2018;4
;within a day;50%;f;1.0;-2.296.680.789.927.560;-4.318.657.351.368.080;Apartment;Entire home/apt;3;1.0;1.0;2.0;Real Bed;"{Internet,Wifi,Kitchen,""Free parking on premises"",Doorman,Elevator,""Buzzer/wireless intercom"",Washer,Essentials,""24-hour check-in"",Iron}";$150.00;;$150.00;1;$150.00;4;60;1;;;;;;;;f;f;moderate;2018;4
;within a few hours;100%;f;3.0;-22.921.990.204.401.300;-4.318.383.627.708.070;Apartment;Entire home/apt;3;1.0;0.0;2.0;Real Bed;"{TV,Wifi,Kitchen,""Smoking allowed"",""Pets allowed"",Doorman,Elevator,""Buzzer/wireless intercom"",""Family/kid friendly"",Washer,Essentials,Hangers,Iron,""Laptop friendly workspace""}";$120.00;$2,049.00;$512.00;1;$0.00;3;730;1;80.0;6.0;4.0;8.0;6.0;6.0;4.0;f;f;strict;2018;4
;within an hour;94%;f;6.0;-229.863.327.988.552;-4.320.256.262.652.210;Apartment;Entire home/apt;14;7.0;6.0;7.0;Real Bed;"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",Kitchen,Doorman,Breakfast,Elevator,""Buzzer/wireless intercom"",""Family/kid friendly"",Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",Essentials,Shampoo,""24-hour check-in"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace""}";$3,241.00;$2,947.00;$421.00;7;$126.00;2;89;33;87.0;9.0;9.0;9.0;8.0;10.0;8.0;t;f;strict;2018;4
;within an hour;100%;t;1.0;-22.983.592.667.034.500;-4.319.381.929.721.070;Apartment;Private room;1;1.0;1.0;1.0;Real Bed;"{TV,""Cable TV"",Wifi,Breakfast,Elevator,""Free street parking"",Heating,Washer,""First aid kit"",""Fire extinguisher"",Essentials,Shampoo,""Lock on bedroom door"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Self check-in"",""Front desk/doorperson"",""Hot water"",""Bed linens"",""Extra pillows and blankets"",Microwave,""Coffee maker"",Refrigerator,""Dishes and silverware"",""Cooking basics"",Oven,Stove,""Luggage dropoff allowed"",""Long term stays allowed"",""Wide hallway clearance"",""Wide doorway"",""Flat path to front door"",""Well-lit path to entrance"",""Step-free access"",""Wide doorway"",""Wide clearance to bed"",""Accessible-height bed"",""Step-free access"",""Accessible-height toilet"",""Wide clearance to shower, toilet"",""Wide entryway""}";$106.00;$0.00;$0.00;1;$137.00;3;30;12;97.0;10.0;10.0;10.0;10.0;10.0;10.0;t;f;strict;2018;4
;within an hour;100%;f;7.0;-22.964.674.754.014.800;-431.744.184.568.611;Apartment;Entire home/apt;11;3.5;4.0;6.0;Real Bed;"{""Cable TV"",Wifi,""Air conditioning"",Kitchen,""Free parking on premises"",""Smoking allowed"",""Pets allowed"",Doorman,Elevator,""Family/kid friendly"",""Suitable for events"",Washer}";$557.00;$650.00;$200.00;8;$80.00;3;750;2;80.0;8.0;6.0;8.0;8.0;8.0;6.0;f;f;strict_14_with_grace_period;2018;4
;within a few hours;90%;f;51.0;-2.297.934.047.183.970;-4.319.112.518.175.480;Apartment;Entire home/apt;3;1.0;0.0;2.0;Real Bed;"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",Kitchen,Doorman,Elevator,""Buzzer/wireless intercom"",""Family/kid friendly"",Essentials,""24-hour check-in"",Hangers,Iron,""Laptop friendly workspace"",""Self check-in"",""Front desk/doorperson"",""Hot water"",""Bed linens"",""Extra pillows and blankets"",""Ethernet connection""}";$154.00;$0.00;$171.00;2;$17.00;3;90;63;93.0;9.0;9.0;10.0;10.0;9.0;9.0;t;f;strict;2018;4
;within an hour;94%;f;6.0;-22.985.507.029.960.600;-4.320.409.638.380.850;Apartment;Entire home/apt;8;4.0;3.0;3.0;Real Bed;"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",Kitchen,Doorman,""Buzzer/wireless intercom"",""Family/kid friendly"",Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",Essentials,Shampoo,""24-hour check-in"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Self check-in"",Lockbox,""Front desk/doorperson"",Crib,""Room-darkening shades"",Microwave,""Coffee maker"",Refrigerator,""Dishes and silverware"",""Cooking basics"",Oven,Stove,""Beach essentials"",""Luggage dropoff allowed"",""Long term stays allowed"",""Well-lit path to entrance"",""Wide clearance to bed"",""Host greets you"",""Paid parking on premises""}";$844.00;$2,105.00;$211.00;4;$126.00;2;89;50;89.0;9.0;9.0;9.0;9.0;10.0;9.0;t;f;strict;2018;4
;within a few hours;100%;f;1.0;-23.010.607.633.886.700;-433.407.272.791.042;Serviced apartment;Entire home/apt;4;1.5;2.0;3.0;Real Bed;"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",Pool,Kitchen,""Free parking on premises"",Doorman,Gym,Elevator,""Buzzer/wireless intercom"",""Family/kid friendly"",Washer,Dryer,""Smoke detector"",""Fire extinguisher"",Essentials,Hangers,""Hair dryer"",Iron,""Self check-in"",""Front desk/doorperson"",""Hot water"",""Long term stays allowed"",Beachfront}";$301.00;$500.00;$140.00;4;$150.00;4;2000;8;100.0;10.0;9.0;10.0;10.0;10.0;10.0;f;f;strict;2018;4
;within a day;70%;f;4.0;-2.300.307.495.204.610;-4.330.911.201.234.120;House;Entire home/apt;12;7.0;4.0;7.0;Real Bed;"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",Kitchen,""Free parking on premises"",""Smoking allowed"",""Pets allowed"",Doorman,Breakfast,""Pets live on this property"",Elevator,""Hot tub"",""Buzzer/wireless intercom"",""Family/kid friendly"",""Suitable for events"",Washer,Dryer,Essentials,""Lock on bedroom door"",""24-hour check-in"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Hot water"",""Bed linens"",""Extra pillows and blankets""}";$2,123.00;;$514.00;1;$0.00;1;730;7;91.0;10.0;10.0;10.0;9.0;9.0;9.0;f;f;strict;2018;4
;within an hour;100%;t;2.0;-22.981.082.418.797.400;-4.319.077.642.991.390;Apartment;Entire home/apt;2;1.0;0.0;2.0;Real Bed;"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",""Wheelchair accessible"",Kitchen,Doorman,Elevator,""Buzzer/wireless intercom"",""Family/kid friendly"",""First aid kit"",""Fire extinguisher"",Essentials,Shampoo,""24-hour check-in"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Self check-in"",""Front desk/doorperson"",""Private entrance"",""Room-darkening shades"",""Hot water"",""Bed linens"",""Extra pillows and blankets"",Microwave,""Coffee maker"",Refrigerator,""Dishes and silverware"",""Cooking basics"",Stove,""Luggage dropoff allowed"",""Long term stays allowed"",""Wide hallway clearance"",""Step-free access"",""Wide doorway"",""Flat path to front door"",""Well-lit path to entrance"",""Step-free access"",""Step-free access"",""Accessible-height toilet"",Waterfront,Beachfront}";$143.00;$324.00;$135.00;2;$100.00;3;1125;97;93.0;9.0;10.0;10.0;10.0;10.0;9.0;t;f;strict;2018;4
;within a day;100%;f;21.0;-2.300.824.889.982.350;-4.329.196.227.282.900;House;Entire home/apt;10;5.0;4.0;6.0;Real Bed;"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",Kitchen,""Free parking on premises"",""Family/kid friendly"",""Suitable for events"",Washer,Dryer,Essentials}";$854.00;$2,732.00;$205.00;4;$154.00;2;365;13;100.0;10.0;10.0;10.0;10.0;10.0;10.0;f;f;strict;2018;4
;within a few hours;100%;f;1.0;-22.981.808.499.143.800;-4.320.207.447.846.780;Apartment;Private room;1;2.0;1.0;1.0;Real Bed;"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",""Wheelchair accessible"",Kitchen,""Free parking on premises"",Doorman,Breakfast,Elevator,""Buzzer/wireless intercom"",Washer,""Smoke detector"",""Carbon monoxide detector"",""Fire extinguisher"",Shampoo,Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50""}";$79.00;$500.00;$100.00;1;$0.00;5;1125;3;90.0;8.0;8.0;9.0;9.0;10.0;8.0;f;f;strict;2018;4
;within a few hours;100%;f;2.0;-22.930.459.638.444.700;-43.174.499.045.394.600;Apartment;Entire home/apt;6;2.0;4.0;4.0;Real Bed;"{TV,""Cable TV"",Wifi,""Air conditioning"",Kitchen,Elevator,Heating,""Family/kid friendly"",Washer,""First aid kit"",""Fire extinguisher"",Essentials,Shampoo,Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Private living room"",""Hot water"",""Bed linens"",""Extra pillows and blankets"",""Pocket wifi"",Microwave,""Coffee maker"",Refrigerator,Dishwasher,""Dishes and silverware"",""Cooking basics"",Oven,Stove,""Patio or balcony"",""Host greets you"",Beachfront}";$758.00;$589.00;$211.00;5;$118.00;7;365;8;94.0;10.0;10.0;10.0;10.0;10.0;9.0;f;f;strict;2018;4
;;;f;3.0;-2.298.021.389.833.300;-4.320.232.434.530.230;Apartment;Entire home/apt;4;3.0;2.0;5.0;Real Bed;"{TV,""Cable TV"",Internet,""Air conditioning"",Kitchen,Doorman,Elevator,""Family/kid friendly"",Washer,Dryer}";$1,298.00;;;1;$0.00;2;30;0;;;;;;;;f;f;flexible;2018;4
;;;f;1.0;-2.298.178.307.520.960;-4.320.076.497.509.290;Apartment;Entire home/apt;4;3.0;2.0;2.0;Real Bed;"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",""Wheelchair accessible"",Kitchen,Doorman,Breakfast,Elevator,""Hot tub"",""Buzzer/wireless intercom"",Heating,""Family/kid friendly"",Washer,Dryer,""First aid kit"",Essentials,Shampoo,""24-hour check-in"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Private entrance"",""Hot water"",""Bed linens"",""Extra pillows and blankets"",""Ethernet connection"",""Pocket wifi"",""Luggage dropoff allowed"",""Step-free access"",""Wide clearance to bed""}";$400.00;;;1;$0.00;1;30;12;96.0;10.0;10.0;10.0;10.0;10.0;9.0;f;f;strict;2018;4
;within an hour;94%;f;6.0;-22.986.233.139.187.800;-4.320.352.791.940.840;Apartment;Entire home/apt;6;3.0;3.0;3.0;Real Bed;"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",Kitchen,""Smoking allowed"",Doorman,Breakfast,Elevator,""Buzzer/wireless intercom"",""Family/kid friendly"",Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",Essentials,Shampoo,""24-hour check-in"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Self check-in"",Lockbox}";$1,728.00;$2,105.00;$211.00;3;$126.00;2;89;45;87.0;8.0;9.0;9.0;9.0;10.0;8.0;t;f;strict;2018;4
;within an hour;96%;t;3.0;-22.982.817.069.184.200;-4.319.571.177.528.830;Apartment;Entire home/apt;2;1.0;0.0;1.0;Real Bed;"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",Kitchen,""Smoking allowed"",Doorman,Elevator,""Buzzer/wireless intercom"",""First aid kit"",""Safety card"",""Fire extinguisher"",Essentials,""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50""}";$151.00;;;2;$46.00;3;89;116;97.0;10.0;10.0;10.0;10.0;10.0;9.0;t;f;strict;2018;4
;;;f;1.0;-22.984.982.857.327.900;-4.319.135.454.377.810;Apartment;Private room;2;1.0;1.0;1.0;Real Bed;"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",Doorman,Elevator,""Buzzer/wireless intercom"",""Family/kid friendly"",Essentials,""Lock on bedroom door"",Hangers,""Hair dryer"",""Private entrance""}";$99.00;$512.00;$51.00;1;$34.00;1;365;79;93.0;10.0;9.0;10.0;10.0;10.0;9.0;f;f;strict;2018;4
;within an hour;100%;f;10.0;-22.945.083.234.481.600;-4.318.162.271.107.670;Apartment;Entire home/apt;4;1.0;0.0;2.0;Real Bed;"{TV,""Cable TV"",Wifi,""Air conditioning"",""Wheelchair accessible"",Kitchen,""Pets allowed"",Doorman,Elevator,""Family/kid friendly"",Essentials,Hangers,Iron,""Laptop friendly workspace""}";$164.00;$0.00;$106.00;2;$106.00;3;365;70;86.0;9.0;8.0;9.0;9.0;9.0;9.0;t;f;strict;2018;4
;within an hour;100%;t;6.0;-2.298.630.130.756.570;-4.319.707.824.115.810;Serviced apartment;Entire home/apt;5;1.0;1.0;4.0;Real Bed;"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",Pool,Kitchen,""Free parking on premises"",""Paid parking off premises"",Doorman,Elevator,""Buzzer/wireless intercom"",""Family/kid friendly"",Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""Safety card"",""Fire extinguisher"",Essentials,Shampoo,""24-hour check-in"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Self check-in"",""Front desk/doorperson"",""Babysitter recommendations"",""Pack ’n Play/travel crib"",""Room-darkening shades"",""Hot water"",""Bed linens"",""Extra pillows and blankets"",""Ethernet connection"",Microwave,""Coffee maker"",Refrigerator,""Dishes and silverware"",""Cooking basics"",Oven,Stove,""Luggage dropoff allowed"",""Long term stays allowed""}";$308.00;$342.00;$120.00;2;$21.00;1;420;236;95.0;10.0;10.0;10.0;10.0;10.0;9.0;t;f;strict;2018;4
;a few days or more;0%;f;1.0;-2.298.448.796.128.200;-4.323.067.691.137.370;Apartment;Private room;2;1.0;1.0;2.0;Pull-out Sofa;"{Wifi,""Free parking on premises"",Doorman,Elevator,""Buzzer/wireless intercom"",""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50""}";$410.00;$342.00;$51.00;1;$0.00;2;8;13;86.0;9.0;10.0;10.0;9.0;10.0;7.0;f;f;strict;2018;4
;within an hour;100%;f;1.0;-2.298.490.375.114.110;-4.319.538.874.348.200;Apartment;Entire home/apt;2;1.0;1.0;1.0;Real Bed;"{TV,Wifi,""Air conditioning"",""Wheelchair accessible"",Kitchen,Elevator,Heating,""Smoke detector"",Essentials,Hangers,""Hair dryer"",""Laptop friendly workspace"",""Hot water"",""Bed linens"",""Extra pillows and blankets"",Microwave,Refrigerator,""Dishes and silverware"",""Cooking basics"",Oven,Stove,""Single level home"",""Luggage dropoff allowed"",""Long term stays allowed"",""Well-lit path to entrance"",""Host greets you"",""Paid parking on premises""}";$256.00;$1,025.00;$154.00;2;$683.00;2;120;12;97.0;9.0;10.0;10.0;10.0;10.0;9.0;f;f;strict;2018;4
;within a day;100%;f;2.0;-22.985.087.803.450.000;-4.330.055.768.107.100;House;Private room;2;1.0;1.0;1.0;Real Bed;"{TV,Wifi,""Air conditioning"",Pool,""Free parking on premises"",""Smoking allowed"",Doorman,""Pets live on this property"",Dog(s),Washer,Essentials,""Hair dryer"",Iron}";$201.00;;$50.00;2;$0.00;2;120;2;100.0;10.0;10.0;10.0;10.0;10.0;10.0;f;f;strict;2018;4
;within a few hours;100%;f;1.0;-2.298.026.529.884.030;-4.319.254.657.523.170;Apartment;Entire home/apt;4;1.0;1.0;1.0;Real Bed;"{Internet,Wifi,""Air conditioning"",Kitchen,""Paid parking off premises"",""Smoking allowed"",Doorman,Elevator,""Free street parking"",""Buzzer/wireless intercom"",""Smoke detector"",""Carbon monoxide detector"",""Fire extinguisher"",Essentials,Shampoo,Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50"",""Self check-in"",""Front desk/doorperson"",""Pack ’n Play/travel crib"",""Hot water"",""Luggage dropoff allowed"",""Long term stays allowed""}";$106.00;$1,370.00;$171.00;2;$68.00;3;365;129;87.0;9.0;8.0;10.0;10.0;9.0;9.0;f;f;strict;2018;4
;within an hour;100%;f;9.0;-22.981.519.259.702.500;-4.319.018.479.326.130;Apartment;Entire home/apt;4;1.0;1.0;1.0;Real Bed;"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",Kitchen,Doorman,Elevator,Essentials,""24-hour check-in"",Hangers,""Hair dryer"",""Laptop friendly workspace"",""Self check-in"",""Front desk/doorperson"",""Hot water"",""Long term stays allowed""}";$109.00;$0.00;$100.00;2;$188.00;4;1125;5;88.0;10.0;10.0;10.0;10.0;9.0;9.0;t;f;strict;2018;4
;within an hour;100%;f;1.0;-22.982.383.750.259.600;-4.319.366.318.041.830;Apartment;Entire home/apt;4;1.0;2.0;2.0;Real Bed;"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",Pool,Kitchen,Doorman,Elevator,""Buzzer/wireless intercom"",""Family/kid friendly"",Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",""Fire extinguisher"",Essentials,Shampoo,""24-hour check-in"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace""}";$305.00;;;4;$342.00;5;180;83;96.0;10.0;10.0;10.0;10.0;10.0;10.0;t;f;strict;2018;4
;within a few hours;100%;f;1.0;-2.298.118.716.565.720;-4.319.372.670.447.490;Apartment;Entire home/apt;12;4.0;4.0;8.0;Real Bed;"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",""Wheelchair accessible"",Kitchen,""Free parking on premises"",Doorman,Elevator,""Buzzer/wireless intercom"",""Family/kid friendly"",Washer,Hangers,Iron,""Laptop friendly workspace""}";$379.00;$2,105.00;$379.00;6;$76.00;2;365;101;86.0;9.0;9.0;10.0;10.0;9.0;9.0;t;f;strict;2018;4
;within an hour;100%;t;6.0;-22.928.748.692.491.000;-4.319.341.175.995.500;Bed and breakfast;Private room;16;5.0;7.0;10.0;Real Bed;"{Internet,Wifi,""Wheelchair accessible"",Pool,Kitchen,""Smoking allowed"",Breakfast,""Pets live on this property"",Cat(s),""Family/kid friendly"",""Suitable for events"",Washer,Dryer,""First aid kit"",Essentials,Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Hot water"",""Bed linens"",""Extra pillows and blankets"",""Luggage dropoff allowed"",""Long term stays allowed"",""Wide doorway"",""Step-free access"",""Wide clearance to bed"",""Step-free access"",""Wide entryway""}";$168.00;;;2;$42.00;1;30;161;95.0;10.0;9.0;10.0;10.0;9.0;9.0;f;f;moderate;2018;4
;;;f;1.0;-22.976.775.053.963.900;-43.192.082.152.445.300;Apartment;Private room;2;1.5;1.0;1.0;Real Bed;"{TV,Internet,Wifi,Kitchen,Elevator,""Family/kid friendly"",Washer}";$201.00;;$150.00;1;$200.00;2;6;5;80.0;8.0;8.0;10.0;9.0;10.0;9.0;f;f;moderate;2018;4
;;;f;2.0;-2.291.788.629.684.080;-4.318.059.101.849.660;Villa;Private room;2;1.0;1.0;1.0;Real Bed;"{Wifi,""Air conditioning"",Breakfast,""Pets live on this property"",Dog(s),""Free street parking"",""Buzzer/wireless intercom"",Washer,Dryer,""First aid kit"",Essentials,""Lock on bedroom door"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""translation missing: en.hosting_amenity_49"",""Private entrance"",""Hot water"",""Luggage dropoff allowed"",""Host greets you""}";$400.00;;;1;$0.00;2;10;0;;;;;;;;f;f;strict;2018;4
;within an hour;100%;f;3.0;-2.291.431.201.768.760;-4.318.884.415.499.850;Apartment;Entire home/apt;2;1.0;1.0;2.0;Real Bed;"{Internet,Wifi,""Air conditioning"",Kitchen,Doorman,Elevator,""Family/kid friendly"",Essentials,""24-hour check-in"",Hangers,""Hair dryer"",Iron,""translation missing: en.hosting_amenity_50""}";$79.00;$0.00;$150.00;2;$50.00;7;365;76;95.0;10.0;9.0;10.0;10.0;8.0;9.0;f;f;strict;2018;4
;within a few hours;100%;f;7.0;-229.762.875.012.061;-4.323.145.352.664.380;Apartment;Entire home/apt;3;1.0;1.0;2.0;Real Bed;"{TV,""Cable TV"",Internet,Wifi,Kitchen,""Free parking on premises"",""Pets allowed"",Doorman,Elevator,""Buzzer/wireless intercom"",""Family/kid friendly"",Washer,Essentials,Hangers,""Hair dryer"",Iron,""translation missing: en.hosting_amenity_50"",""Hot water"",""Bed linens"",""Coffee maker"",Refrigerator,""Dishes and silverware"",""Cooking basics"",Oven,Stove,""Patio or balcony"",""Long term stays allowed"",""Host greets you""}";$140.00;$0.00;$120.00;2;$25.00;5;90;18;92.0;9.0;9.0;10.0;10.0;10.0;9.0;f;f;strict;2018;4
;;;f;2.0;-22.925.194.298.131.000;-4.319.118.336.151.660;Apartment;Private room;2;2.0;1.0;1.0;Real Bed;"{TV,Internet,Wifi,Kitchen,""Smoking allowed"",""Pets allowed"",""Free street parking"",""Buzzer/wireless intercom"",""Suitable for events"",Washer,""Smoke detector"",""Fire extinguisher"",Essentials,""24-hour check-in"",""Hair dryer"",Iron,""Laptop friendly workspace"",""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50"",""Hot water"",""Host greets you""}";$68.00;$683.00;$102.00;1;$38.00;2;60;12;94.0;9.0;7.0;9.0;10.0;9.0;8.0;t;f;moderate;2018;4
;within a day;100%;f;4.0;-2.296.924.906.222.340;-4.318.283.457.669.380;Apartment;Entire home/apt;5;2.0;2.0;3.0;Real Bed;"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",Kitchen,""Smoking allowed"",Doorman,Elevator,""Buzzer/wireless intercom"",Washer,Essentials,""Hair dryer"",Iron,""Bed linens"",""Extra pillows and blankets""}";$280.00;;$171.00;1;$0.00;3;60;20;93.0;10.0;8.0;10.0;10.0;10.0;9.0;f;f;strict;2018;4
