;host_response_time;host_response_rate;host_is_superhost;host_listings_count;latitude;longitude;property_type;room_type;accommodates;bathrooms;bedrooms;beds;bed_type;amenities;price;security_deposit;cleaning_fee;guests_included;extra_people;minimum_nights;maximum_nights;number_of_reviews;review_scores_rating;review_scores_accuracy;review_scores_cleanliness;review_scores_checkin;review_scores_communication;review_scores_location;review_scores_value;instant_bookable;is_business_travel_ready;cancellation_policy;year;month
'host_response_time','host_response_rate','host_is_superhost','host_listings_count','latitude','longitude','property_type','room_type','accommodates','bathrooms','bedrooms','beds','bed_type','amenities','price','security_deposit','cleaning_fee','guests_included','extra_people','minimum_nights','maximum_nights','number_of_reviews','review_scores_rating','review_scores_accuracy','review_scores_cleanliness','review_scores_checkin','review_scores_communication','review_scores_location','review_scores_value','instant_bookable','is_business_travel_ready','cancellation_policy','year','month';'host_response_time';'host_response_rate';'host_is_superhost';'host_listings_count';'latitude';'longitude';'property_type';'room_type';'accommodates';'bathrooms';'bedrooms';'beds';'bed_type';'amenities';'price';'security_deposit';'cleaning_fee';'guests_included';'extra_people';'minimum_nights';'maximum_nights';'number_of_reviews';'review_scores_rating';'review_scores_accuracy';'review_scores_cleanliness';'review_scores_checkin';'review_scores_communication';'review_scores_location';'review_scores_value';'instant_bookable';'is_business_travel_ready';'cancellation_policy';'year';'month'
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;f;2.0;-229.300.689.216.508;-4.319.453.100.989.290;Apartment;Private room;2;1.0;1.0;1.0;Real Bed;"{""Cable TV"",Internet,Wifi,""Air conditioning"",Kitchen,Doorman,Breakfast,Elevator,""Buzzer/wireless intercom"",Washer,Shampoo}";$512.00;$342.00;$137.00;1;$102.00;2;300;7;100.0;10.0;10.0;10.0;10.0;9.0;9.0;f;f;strict;2018;4
;;;f;1.0;-2.298.665.261.248.180;-434.322.466.109.785;Apartment;Entire home/apt;4;1.0;2.0;4.0;Real Bed;"{TV,""Cable TV"",""Air conditioning"",""Wheelchair accessible"",Kitchen,""Free parking on premises"",""Smoking allowed"",""Pets allowed"",Doorman,Elevator,""Buzzer/wireless intercom"",""Family/kid friendly"",Washer,""Fire extinguisher""}";$201.00;$500.00;;1;$100.00;2;30;2;80.0;9.0;8.0;9.0;9.0;9.0;8.0;t;f;moderate;2018;4
;;;f;3.0;-22.967.195.464.304.300;-4.317.983.066.452.520;Apartment;Entire home/apt;3;1.0;1.0;1.0;Real Bed;"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",Kitchen,""Paid parking off premises"",""Smoking allowed"",Doorman,Elevator,""Buzzer/wireless intercom"",Essentials,Hangers,Iron,""Laptop friendly workspace"",""Hot water"",""Luggage dropoff allowed"",""Long term stays allowed"",""Host greets you""}";$249.00;;$150.00;1;$0.00;2;365;8;87.0;8.0;9.0;9.0;9.0;10.0;8.0;f;f;strict;2018;4
;within a few hours;100%;t;5.0;-22.984.046.680.078.700;-4.320.033.559.708.550;Apartment;Entire home/apt;4;1.5;2.0;2.0;Real Bed;"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",Kitchen,""Free parking on premises"",""Smoking allowed"",""Pets allowed"",Doorman,Elevator,""Buzzer/wireless intercom"",""Family/kid friendly"",Washer,Dryer,Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Self check-in"",""Front desk/doorperson"",""Children’s books and toys"",""Hot water"",""Luggage dropoff allowed"",""Long term stays allowed""}";$219.00;$400.00;$100.00;3;$50.00;2;6000;24;97.0;10.0;9.0;10.0;10.0;10.0;9.0;f;f;strict;2018;4
;within an hour;100%;f;1.0;-22.984.104.389.707.400;-4.319.268.956.952.350;Apartment;Entire home/apt;3;1.0;1.0;2.0;Real Bed;"{TV,""Cable TV"",Wifi,""Air conditioning"",Kitchen,""Smoking allowed"",Doorman,Elevator,""Buzzer/wireless intercom"",""Fire extinguisher"",""Laptop friendly workspace"",""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50""}";$65.00;$0.00;$100.00;2;$50.00;3;30;44;95.0;9.0;9.0;10.0;10.0;10.0;10.0;t;f;strict;2018;4
;a few days or more;0%;f;2.0;-22.966.306.735.066.100;-4.317.260.586.702.310;Apartment;Entire home/apt;6;2.5;3.0;3.0;Real Bed;"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",""Wheelchair accessible"",Kitchen,""Smoking allowed"",Doorman,Elevator,""Buzzer/wireless intercom"",""Family/kid friendly"",Washer,Essentials,Hangers,Iron,""Laptop friendly workspace""}";$598.00;$342.00;$120.00;4;$0.00;3;30;12;92.0;9.0;9.0;10.0;10.0;10.0;9.0;f;f;strict;2018;4
;within a day;100%;f;2.0;-22.938.361.619.417.200;-4.320.521.792.145.270;Loft;Entire home/apt;5;1.5;1.0;2.0;Real Bed;"{TV,Internet,Wifi,Kitchen,""Free parking on premises"",""Smoking allowed"",""Pets allowed"",Doorman,Elevator,""Hot tub"",""Indoor fireplace"",""Family/kid friendly"",Washer,""Fire extinguisher"",Essentials,Shampoo,""24-hour check-in"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""High chair"",""Children’s books and toys"",""Hot water"",""Luggage dropoff allowed"",""Long term stays allowed"",""Host greets you""}";$202.00;$1,027.00;$154.00;2;$68.00;2;365;27;96.0;10.0;10.0;10.0;10.0;9.0;9.0;f;f;strict;2018;4
;within a few hours;100%;f;1.0;-2.297.953.670.566.820;-4.319.019.484.304.130;Apartment;Entire home/apt;4;1.0;1.0;4.0;Real Bed;"{TV,Internet,Wifi,Kitchen,""Smoking allowed"",Doorman,Elevator,""Buzzer/wireless intercom"",Washer,""First aid kit"",""Fire extinguisher"",Essentials,Shampoo,Hangers,""Laptop friendly workspace"",""translation missing: en.hosting_amenity_49"",""Room-darkening shades"",""Ethernet connection""}";$134.00;$901.00;$0.00;4;$60.00;5;1125;68;88.0;9.0;9.0;10.0;9.0;9.0;9.0;f;f;strict;2018;4
;a few days or more;0%;f;2.0;-23.006.540.624.154.400;-4.334.505.822.552.330;Apartment;Entire home/apt;4;2.0;1.0;3.0;Real Bed;"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",""Wheelchair accessible"",Kitchen,""Free parking on premises"",""Smoking allowed"",""Pets allowed"",Doorman,Gym,Elevator,""Buzzer/wireless intercom"",""Family/kid friendly"",Washer,Dryer,""24-hour check-in"",Hangers,Iron,Microwave,""Coffee maker"",Refrigerator,""Dishes and silverware"",Oven,Stove}";$359.00;$0.00;$176.00;6;$96.00;3;365;8;85.0;8.0;8.0;10.0;9.0;10.0;8.0;f;f;strict;2018;4
;;;f;1.0;-2.296.530.612.456.610;-4.318.145.602.654.840;Apartment;Private room;2;1.5;1.0;1.0;Real Bed;"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",Kitchen,Doorman,Elevator,""Buzzer/wireless intercom"",""Family/kid friendly"",Washer,Essentials,""Lock on bedroom door"",Hangers,Iron,""Laptop friendly workspace"",Microwave,Refrigerator,""Dishes and silverware"",""Cooking basics"",Oven,""Wide hallway clearance"",""Step-free access"",""Step-free access"",Beachfront}";$246.00;$800.00;$150.00;2;$250.00;7;36;0;;;;;;;;f;f;strict;2018;4
;within an hour;100%;f;1.0;-2.296.987.165.543.930;-4.339.074.368.121.840;Apartment;Entire home/apt;4;2.0;2.0;3.0;Real Bed;"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",""Wheelchair accessible"",Pool,Kitchen,""Free parking on premises"",Doorman,Gym,Elevator,""Free street parking"",""Buzzer/wireless intercom"",""Family/kid friendly"",Essentials,""24-hour check-in"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Window guards"",""Hot water"",Microwave,""Coffee maker"",Refrigerator,""Patio or balcony"",""Garden or backyard"",""Long term stays allowed"",""Cleaning before checkout"",""Host greets you"",Beachfront}";$1,390.00;$10,000.00;$150.00;5;$300.00;2;180;5;96.0;10.0;10.0;10.0;9.0;10.0;10.0;f;f;strict;2018;4
;;;f;1.0;-2.298.354.734.310.430;-4.319.792.675.797.000;Apartment;Private room;2;1.0;1.0;1.0;Real Bed;"{TV,Wifi,""Air conditioning"",Kitchen,Gym,Elevator,Washer,""First aid kit"",""Fire extinguisher"",Essentials,Shampoo,Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50"",""Self check-in"",""Front desk/doorperson"",""Window guards"",""Room-darkening shades"",""Hot water"",""Bed linens"",""Extra pillows and blankets"",Microwave,""Coffee maker"",Refrigerator,""Dishes and silverware"",""Cooking basics"",Oven,Stove,""BBQ grill"",""Luggage dropoff allowed"",""Wide hallway clearance"",""Step-free access"",""Wide doorway"",""Flat path to front door"",""Well-lit path to entrance"",""Step-free access"",""Wide doorway"",""Wide clearance to bed"",""Accessible-height bed"",""Accessible-height toilet""}";$222.00;$342.00;$102.00;1;$51.00;3;28;8;97.0;10.0;10.0;10.0;10.0;10.0;10.0;f;f;strict;2018;4
;;;f;1.0;-22.982.887.018.331.400;-4.320.252.122.202.400;Apartment;Entire home/apt;4;2.0;2.0;2.0;Real Bed;"{TV,""Cable TV"",Wifi,""Air conditioning"",Kitchen,Doorman,Elevator,""Buzzer/wireless intercom"",Washer,Dryer,Essentials,""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50""}";$697.00;$3,324.00;$166.00;4;$332.00;4;21;14;100.0;9.0;10.0;10.0;10.0;10.0;9.0;f;f;strict;2018;4
;;;f;1.0;-22.914.853.168.581;-4.318.586.235.182.120;Apartment;Entire home/apt;3;1.0;2.0;2.0;Real Bed;"{TV,""Air conditioning"",Kitchen,""Buzzer/wireless intercom"",""Family/kid friendly""}";$239.00;$683.00;$273.00;3;$273.00;5;30;4;73.0;5.0;4.0;6.0;9.0;6.0;5.0;f;f;strict;2018;4
;within an hour;100%;f;41.0;-2.296.771.342.716.310;-43.187.179.588.697.500;Apartment;Private room;2;1.0;1.0;1.0;Real Bed;"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",""Wheelchair accessible"",Kitchen,""Pets allowed"",Doorman,""Pets live on this property"",Dog(s),Cat(s),Elevator,""Buzzer/wireless intercom"",Washer,Dryer,Essentials,Shampoo,""Lock on bedroom door"",""24-hour check-in"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50"",""Window guards"",""Room-darkening shades"",""Hot water"",""Bed linens"",""Ethernet connection"",Microwave,""Coffee maker"",Refrigerator,Dishwasher,""Dishes and silverware"",""Cooking basics"",Oven,Stove,""Luggage dropoff allowed"",""Host greets you""}";$181.00;$800.00;$100.00;2;$100.00;3;30;30;97.0;10.0;10.0;10.0;10.0;10.0;10.0;f;f;strict;2018;4
